latitude degree WGS84,longitude degree WGS84,altitude in meters AMSL,thermal probability in a circle with 250m radius around the hotspot
47.51818,10.37569,1441,97
38.36009,21.58511,293,97
46.55307,7.68112,1575,97
45.12997,5.62817,1699,97
46.9021,11.39519,1738,97
46.45592,23.53915,1136,97
46.78246,13.21735,1964,97
46.88771,9.90145,2081,97
47.11797,11.28107,1927,97
45.64001,24.64868,1872,97
45.0085,5.31623,713,97
46.60794,24.65249,382,97
47.38688,9.74801,773,97
50.24342,7.57333,248,97
46.4964,8.83376,1954,97
45.15875,5.91094,1747,97
47.59552,12.96502,1202,97
46.82564,9.2091,1923,97
45.52757,5.82091,1069,97
47.6306,18.2058,129,97
51.24921,11.6843,192,97
46.4937,7.51247,2077,97
46.44962,11.65641,2159,97
47.46602,13.32514,1820,97
47.72953,23.66976,1235,97
41.22786,0.98209,765,97
47.50199,11.1568,1621,97
47.40127,10.30975,1565,97
48.89867,11.12764,536,97
47.40396,9.96358,1599,97
52.17046,-3.33303,248,97
45.19923,5.96547,1937,97
46.34887,7.85103,2823,97
51.31572,-2.66985,80,97
47.77359,8.55986,758,97
46.33628,13.04744,1049,97
47.38148,10.84867,1991,97
45.77675,6.33954,946,97
47.66927,11.77687,1006,97
43.2673,27.29888,93,97
48.46429,13.81587,546,97
47.01994,8.69935,1384,97
49.78498,9.46778,293,97
48.88787,19.21769,1252,97
46.61334,7.6304,1778,97
45.8784,11.84407,1344,97
46.88051,9.92807,2506,97
48.05329,8.11986,977,97
49.71577,20.59351,521,97
46.18785,13.78543,1181,97
44.26163,7.79778,1606,97
48.41212,21.63837,128,97
47.31133,9.51343,1026,97
46.41993,8.10337,2428,97
46.96957,10.47206,2661,97
51.36964,-1.86211,162,97
47.02714,8.81981,1370,97
46.6997,10.51137,1587,97
46.15546,8.51929,1614,97
47.66208,11.50931,1567,97
47.73402,11.51312,1124,97
46.95607,9.7328,1393,97
45.77135,2.9653,1416,97
46.82654,8.35191,1973,97
48.4481,8.15029,645,97
50.18229,5.5673,220,97
47.895,8.58015,847,97
45.80463,6.09227,1314,97
42.04149,0.75638,1536,97
44.81953,7.11304,1373,97
48.12703,8.04251,803,97
40.25194,-4.91934,1160,97
46.21663,7.51881,2116,97
46.10599,8.4394,1874,97
38.49699,22.45879,455,97
45.99534,12.18517,928,97
42.97844,0.87558,1049,97
38.02233,13.96042,157,97
